,producoes
548," costa, l. a. ; fontao, a ; santos, r. p.  . investigating proprietary software ecosystem governance and health:  an updated and refined perspective. in: sbsi'21: xvii brazilian  symposium on information systems, 2021, uberlandia. sbsi'21: xvii  brazilian symposium on information systems. new york: acm, 2021.  "
549," costa, l. a. ; fontao, awdren ; santos, r. p.  . investigating asset governance mechanisms in a proprietary software  ecosystem. in: xvi brazilian symposium on information systems - sbsi'20,  2020, sao bernando do campo. proceedings of the xvi brazilian symposium  on information systems - sbsi'20, 2020.  "
550," morais, f. l. ; fontao, awdren ; cleger-tamayo, s.  . combining design thinking and scrum to enhance test suite during  innovative software development. in: ibero-american conference on  software engineering (cibse), 2020, curitiba. proceeding of the xxxiii  ibero-american conference on software engineering, 2020.  "
551," fontao, awdren; cleger-tamayo, s. ; wiese, igor ; dos santos, rodrigo pereira  ; dias-neto, arilo claudio . on value creation in developer relations  (devrel): a practitioners? perspective. in: international conference on  global software engineering, 2020, seoul. 15th acm/ieee international  conference on global software engineering - icgse 2020, 2020.  "
552," imamura, m. ; costa, l. a. m. ; ferreira, f. h. ; fontao, awdren ; dos santos, rodrigo pereira  . fatores de governanca em sistemas-de-sistemas: analise de uma  instituicao publica brasileira. in: v workshop sobre aspectos sociais,  humanos e economicos de software (washes), 2020, cuiaba. anais do v  workshop sobre aspectos sociais, humanos e economicos de software, 2020.  p. 31.  "
553," lima, v. c. a. e. ; malcher, p. ; farias, v. g. ; santos, r. p. ; fontao, awdren ; wiese, igor ; viana, d.  . an exploratory study on developers opinions about influence in open  source software ecosystems.. in: brazilian symposium on software  engineering - sbes'20, 2020, natal. proceedings of the 34th brazilian  symposium on software engineering - sbes'20, 2020.  "
554," fontao, awdren; santos, r. p. ; dias-neto, arilo  . devgo: um modelo para governanca de desenvolvedores em ecossistema de  software movel a partir de developer relations. in: xvi simposio  brasileiro de sistemas de informacao, 2020, sao bernardo do campo. anais  estendidos do simposio brasileiro de sistemas de informacao (sbsi),  ctdsi 2020, 2020.  "
555," massanori, d. ; cafeo, b. b. p. ; wiese, igor ; fontao, awdren  . death of a software ecosystem: a developer relations (devrel)  perspective. in: 34th brazilian symposium on software engineering, 2020,  natal. proceedings of the 34th brazilian symposium on software  engineering - innovative ideas and emerging results, 2020.  "
556," braga, w. ; menezes, g. ; fontao, awdren ; hora, a. ; cafeo, b. b. p.  . quero lhe usar! uma analise do publico-alvo de code samples. in:  workshop on software visualization, evolution and maintenance (vem),  2020, natal. proceedings of the 8th workshop on software visualization,  evolution and maintenance (vem 2020), 2020.  "
557," fontao, awdren; gadelha, b.  ; castro junior, a. . balancing theory and practice in software  engineering education - a pbl, toolset based approach. in: frontiers in  education, 2019, cincinnati. 49th annual frontiers in education (fie)  conference, 2019.  "
558," lima, m. ; fontao, awdren ; fernandes, d. ; conte, t. ; gadelha, b.  . how are my students going? a tool to analyse students? interactions  on capstone courses. in: brazilian symposium on informatics in education  (sbie), 2019, brasilia. proceedings of the xxx brazilian symposium on  informatics in education, 2019.  "
559," fontao, a; estacio, b. ; fernandes, j. ; santos, r. p.  ; dias-neto, arilo claudio . which factors affect the evangelist's  support during training sessions in mobile software ecosystems?. in:  12th european conference on software architecture - workshops, 2018,  madrid. 12th european conference on software architecture: companion  proceedings, 2018.  "
560," fontao, awdren; bonifacio, b.  ; santos, rodrigo pereira dos ; dias-neto, arilo claudio . mobile  application development training in mobile software ecosystem:  investigating the developer experience. in: brazilian symposium on  software quality (sbqs 2018), 2018, curitiba. proceedings of the 17th  brazilian symposium on software quality (sbqs 2018), 2018.  "
561," fontao, a. l.; dias-neto, arilo ; viana, d.  . investigating factors that influence developers experience in mobile  software ecosystems. in: icse joint 5th international workshop on  software engineering for systems-of-systems and 11th workshop on  distributed software development, software ecosystems and  systems-of-systems, 2017, buenos aires. proceedings of the icse joint  5th international workshop on software engineering for  systems-of-systems and 11th workshop on distributed software  development, software ecosystems and systems-of-systems, 2017.  "
562," ekwoge, o. ; fontao, awdren de lima ; dias-neto, arilo  . tester experience: concept, issues and definition. in: compsac 2017 -  the 41th annual international computers, software & applications  conference, 2017, turin. proceedings of the compsac 2017, 2017.  "
563," ascate, s. ; mendes, i. ; oliveira, k. ; fontao, awdren de lima ; rojas, i. ; dias-neto, arilo  . challenges in model based testing for mobile applications. in: cibse  2017, 2017, buenos aires. xx ibero-american conference on software  engineering, 2017.  "
564," fontao, awdren; ekwoge, o. ; santos, rodrigo ; dias-neto, arilo  . facing up the primary emotions in mobile software ecosystems from  developer experience. in: workshop on social, human, and economic  aspects of software (washes) at the 16th international conference on  software reuse, 2017, salvador. 2nd workshop on social, human, and  economic aspects of software, 2017.  "
565," fontao, a. l.; lima, f. ; abia, b. ; santos, rodrigo pereira dos ; dias-neto, arilo  . hearing the voice of developers in mobile software ecosystems. in:  brazilian symposium on software engineering (sbes), 2017, fortaleza.  proceedings of the 31st brazilian symposium on software engineering,  2017.  "
566," fontao, a. l.; dos santos, rodrigo pereira  ; dias-neto, arilo claudio . mseco-cert: uma abordagem baseada em  processo para apoiar a certificacao de apps em ecossistema de software  movel. in: xvi sbqs - xvi simposio brasileiro de qualidade de software,  2017, rio de janeiro. anais do xvi sbqs. porto alegre: sbc e pucpr,  2017. p. 326-339.  "
567," fontao, a. l.; santos, r. p.  ; dias-neto, arilo claudio . towards a guideline-based approach to  govern developers in mobile software ecosystems. in: icsr 2017 - 16th  international conference on software reuse, 2017, salvador. proceedings  of the icsr 2017: mastering scale and complexity in software reuse,  2017. v. 10221. p. 208-2013.  "
568," bezerra, a. ; fontao, awdren de lima ; dias-neto, arilo  . simulacao de ecossistemas de software movel: estado da arte, desafios  e oportunidades. in: 13th empirical software engineering latin american  workshop (eselaw 2016), 2016, quito. 13th empirical software  engineering latin american workshop (eselaw 2016), 2016.  "
569," fontao, awdren de lima;  santos, rodrigo pereira dos ; feijo, j. ; neto, arilo claudio dias .  mseco-dev: application development process in mobile software  ecosystems. in: the 28th international conference on software  engineering & knowledge engineering, 2016, san francisco bay. the  twenty-eighth international conference on software engineering and  knowledge engineering (seke 2016), 2016.  "
570," lobo, l. ; fontao, awdren ; bezerra, a. ; dias-neto, arilo  . an empirical analysis of mobile apps popularity metrics in mobile  software ecosystems. in: brazilian symposium on software quality, 2016,  maceio. proceedings of the 15th brazilian symposium on software quality.  porto alegre, 2016.  "
571," pedraca, b. ; fernandes, p. ; bonifacio, b. ; fontao, awdren ; dias-neto, arilo  . explorando a personalidade do desenvolvedor em ecossistemas de  software movel. in: workshop sobre aspectos sociais, humanos e  economicos de software (washes), 2016, maceio. i workshop sobre aspectos  sociais, humanos e economicos de software, 2016.  "
572," pedraca, b. ; bonifacio, b. ; fernandes, p. ; fontao, awdren ; dias-neto, arilo  . o ensino de programacao mobile em ecossistema movel. in: tise -  conferencia internacional sobre informatica na educacao, 2016. anais da  xxi conferencia internacional sobre informatica na educacao (tise),  2016. v. 12. p. 648-653.  "
573,"   fontao, a. l.; santos, rodrigo ; dias-neto, arilo  . mobile software ecosystem (mseco): a systematic mapping study. in:  compsac 2015 - the 39th annual international computers, software &  applications conference, 2015, taichung, taiwan. proceedings of the  compsac 2015, 2015.  "
574," reis, r. a. c. ; fontao, a. l. ; lobo, l. ; dias-neto, arilo  . usability evaluation approaches for (ubiquitous) mobile applications:  a systematic mapping study. in: ubicomm 2015: the ninth international  conference on mobile ubiquitous computing, systems, services and  technologies, 2015, nice. the ninth international conference on mobile  ubiquitous computing, systems, services and technologies, 2015.  "
575," fontao, a. l.; dias-neto, arilo  . mseco cert: uma abordagem baseada em processo para apoiar a  certificacao de apps em ecossistemas de software movel. in: sbqs -  simposio brasileiro de qualidade de sotware, wtdqs - workshop de teses e  dissertacoes em qualidade de software, 2015, manaus. anais do workshop  de teses e dissertacoes em qualidade de software, 2015.  "
576,"   fontao, awdren de lima;  santos, rodrigo pereira dos ; neto, arilo claudio dias . mseco-sup:  support process in mobile software ecosystems. in: 2015 29th brazilian  symposium on software engineering (sbes), 2015, belo horizonte-mg. 2015  29th brazilian symposium on software engineering. p. 31.  "
577," biase, c. ; fernandes, p. ; fontao, a. l. ; fernandes, m. ; bonifacio, b.  . avaliando a experiencia de desenvolvedores (dx) no processo de ensino  de desenvolvimento de aplicacoes moveis. in: www/internet 2015  conference (ciawi 2015), 2015, florianopolis. conferencia  ibero-americana www/internet 2015, 2015.  "
578,"   fontao, a. l.; bonifacio, b. ; dias-neto, arilo ; bezerra, a. ; santos, rodrigo  . mseco skill: construcao de competencias de desenvolvedores em  ecossistemas de software movel. in: cibse - congreso iberoamericano en  ingenieria de software, 2014, pucon. xvii congreso iberoamericano en  ingenieria de software, 2014.  "
579," castro, a. ; fontao, a. l. ; dias-neto, arilo  . an approach to perform automated functional testing in  database-driven applications. in: cibse - congreso iberoamericano en  ingenieria de software, 2014. xvii congreso iberoamericano en ingenieria  de software, 2014.  "
580," santos, rodrigo ; valenca, g. ; viana, d. ; estacio, b. ; fontao, a. l. ; marczak, s. ; werner, c. ; alves, c. ; conte, t.  ; prikladnicki, r. . qualidade em ecossistemas de software: desafios e  oportunidades de pesquisa. in: viii workshop de desenvolvimento  distribuido de software, ecossistemas de software e sistemas de sistemas  - wdes, 2014, maceio. cbsoft 2014 - congresso brasileiro de software:  teoria e pratica. viii workshop de desenvolvimento distribuido de  software, ecossistemas de software e sistemas de sistemas - wdes, 2014.  v. 02.  "
581," fontao, a. l.; bonifacio, b.  ; nicolay, a. . apps framework: um processo centrado no usuario  aplicado para o desenvolvimento de aplicativos moveis - um estudo de  caso. in: iadis international conference - www/internet 2012, 2012,  madrid. www/internet 2012, 2012. v. 1. p. 91-98.  "
582," oliveira, h. a. b. f. ; barreto, r. s. ; fontao, a. l. ; nakamura, f. eduardo ; loureiro, a. a. f.  . envio de dados de consulta para sinks moveis em alta velocidade em  redes de sensores sem fio. in: 28o simposio brasileiro de redes de  computadores e sistemas distribuidos (sbrc 2010), 2010, gramado.  simposio brasileiro de redes de computadores e sistemas distribuidos,  2010. p. 75-88.  "
